timestamp,total,buy,sell,buyRatio,sellRatio
1513011600000,1848.52443,951.90424,896.62019,0.514953562,0.485046438
1513008000000,1564.48533,928.8102,635.67513,0.593684186,0.406315814
1513004400000,1657.74723,772.61116,885.13607,0.466060896,0.533939104
1513000800000,2623.94824,1005.84488,1618.10336,0.383332592,0.616667408
1512997200000,1696.16983,988.41244,707.75739,0.582732002,0.417267998
1512993600000,3638.27211,1588.81549,2049.45663,0.436695069,0.563304934
1512990000000,2286.31407,1107.62587,1178.6882,0.484459193,0.515540807
1512986400000,1975.90627,843.89906,1132.00721,0.427094682,0.572905318
1512982800000,2133.23822,988.52499,1144.71323,0.463391749,0.536608251
1512979200000,1853.35228,855.40986,997.94242,0.461547364,0.538452636
1512975600000,3156.91816,1976.89207,1180.02609,0.626209477,0.373790523
1512972000000,1876.25221,853.76101,1022.4912,0.455035312,0.544964688
1512968400000,4864.88923,2321.36351,2543.52571,0.477166776,0.522833222
1512964800000,7148.61293,3633.61109,3515.00184,0.508295963,0.491704037
1512961200000,3774.66847,1914.16918,1860.49929,0.507109219,0.492890781
1512957600000,5723.12586,3570.76712,2152.35874,0.623919027,0.376080973
1512954000000,2931.97524,1502.76721,1429.20803,0.512544304,0.487455696
1512950400000,10461.92042,5636.42521,4825.49521,0.538756269,0.461243731
1512946800000,3318.06005,1755.99161,1562.06845,0.529222372,0.470777631
1512943200000,6113.94406,2239.31279,3874.63127,0.366263212,0.633736788
1512939600000,1895.74747,845.8932,1049.85427,0.446205633,0.553794367
1512936000000,2205.77132,1250.26794,955.50338,0.566816663,0.433183337
1512932400000,2849.14818,1102.7694,1746.37878,0.387052315,0.612947685
1512928800000,1971.08508,1074.98807,896.09701,0.545378828,0.454621172
1512925200000,4274.81524,2060.54493,2214.27031,0.482019646,0.517980354
1512921600000,7135.56033,3800.43872,3335.12161,0.532605506,0.467394494
1512918000000,10595.66412,5831.54629,4764.11783,0.550371003,0.449628997
1512914400000,5577.46524,3634.81545,1942.6498,0.651696657,0.348303345
1512910800000,1629.22337,818.43675,810.78662,0.502347784,0.497652216
1512907200000,2147.48167,869.03476,1278.44692,0.404676218,0.595323787
1512903600000,2856.18406,1471.79979,1384.38426,0.515302851,0.484697145
1512900000000,2340.92479,1265.88001,1075.04479,0.54076065,0.459239355
1512896400000,2792.43142,1140.0132,1652.41822,0.4082511,0.5917489
1512892800000,2983.38125,1280.74208,1702.63916,0.429292126,0.57070787
1512889200000,2776.0932,1549.15284,1226.94036,0.558033441,0.441966559
1512885600000,3746.43643,1656.58467,2089.85176,0.442176105,0.557823895
1512882000000,7940.96549,4267.25074,3673.71475,0.537371777,0.462628223
1512878400000,8725.6777,3728.92148,4996.75622,0.427350357,0.572649643
1512874800000,4527.17414,2334.41499,2192.75915,0.515645062,0.484354938
1512871200000,4609.59417,1847.48769,2762.10648,0.400791832,0.599208168
1512867600000,3521.13745,1511.92787,2009.20957,0.429386212,0.570613786
1512864000000,1753.21315,850.30263,902.91052,0.484996722,0.515003278
1512860400000,3223.35282,1802.40697,1420.94585,0.559171481,0.440828519
1512856800000,1760.97876,850.36073,910.61803,0.482890963,0.517109037
1512853200000,2729.06509,1580.70809,1148.35699,0.579212308,0.420787688
1512849600000,3834.09768,1873.43861,1960.65907,0.488625686,0.511374314
1512846000000,9275.27002,5113.79709,4161.47293,0.551336735,0.448663265
1512842400000,9787.52693,3780.75909,6006.76783,0.386283391,0.613716608
1512838800000,7285.61595,2669.31122,4616.30473,0.366380995,0.633619005
1512835200000,2752.35808,1368.25036,1384.10772,0.497119314,0.502880686
1512831600000,1551.58411,636.82495,914.75915,0.410435339,0.589564655
1512828000000,1533.98663,833.90991,700.07673,0.543622672,0.456377335
1512824400000,3193.59509,1628.86109,1564.734,0.510039953,0.489960047
1512820800000,3893.11768,1970.07633,1923.04135,0.506040786,0.493959214
1512817200000,3309.55186,1126.70154,2182.85032,0.340439306,0.659560694
1512813600000,2388.25556,1100.65219,1287.60337,0.460860307,0.539139693
1512810000000,1445.40832,574.97916,870.42916,0.397797046,0.602202954
1512806400000,1334.81762,959.49504,375.32257,0.718821078,0.281178915
1512802800000,1614.00384,1014.55315,599.45069,0.628594013,0.371405987
1512799200000,3067.7022,1305.36944,1762.33276,0.425520261,0.574479739
1512795600000,2043.74525,910.93215,1132.8131,0.445717073,0.554282927
1512792000000,1242.85591,600.69158,642.16433,0.483315544,0.516684456
1512788400000,2152.30113,1333.8569,818.44423,0.61973526,0.38026474
1512784800000,2774.07782,1206.42993,1567.6479,0.434894047,0.565105957
1512781200000,3207.6192,1765.36945,1442.24975,0.550367528,0.449632472
1512777600000,2510.07609,1266.51199,1243.5641,0.504571154,0.495428846
1512774000000,2313.7838,1074.06529,1239.7185,0.464202961,0.535797035
1512770400000,3951.76809,2381.17241,1570.59569,0.602558742,0.39744126
1512766800000,2317.769,1178.5254,1139.24359,0.508474054,0.491525942
1512763200000,3045.56888,1293.30513,1752.26375,0.424651414,0.575348586
1512759600000,2079.57897,1188.16475,891.41422,0.571348704,0.428651296
1512756000000,2625.61805,1174.71998,1450.89806,0.447407032,0.552592964
1512752400000,3875.45661,1743.14491,2132.31171,0.449790847,0.550209156
1512748800000,2957.65046,1257.26296,1700.3875,0.42508842,0.57491158
1512745200000,5917.46031,3879.05615,2038.40417,0.655527194,0.344472808
1512741600000,5403.92655,2581.12634,2822.80021,0.477639049,0.522360951
1512738000000,4961.33874,2661.28652,2300.05222,0.536404922,0.463595078
1512734400000,8488.54266,3763.84384,4724.69883,0.44340283,0.556597171
1512730800000,4460.94859,1882.44482,2578.50377,0.421983079,0.578016921
1512727200000,6890.97101,3307.29725,3583.67376,0.479946476,0.520053524
1512723600000,3101.93983,1259.74327,1842.19657,0.40611467,0.593885333
1512720000000,5367.83827,2757.11129,2610.72698,0.513635313,0.486364687
1512716400000,7407.38207,3992.48751,3414.89456,0.538987657,0.461012343
1512712800000,14157.10754,6176.1861,7980.92143,0.43626045,0.56373955
1512709200000,6283.14421,2701.06088,3582.08332,0.429890002,0.570109996
1512705600000,10005.11871,4419.9641,5585.15462,0.441770281,0.55822972
1512702000000,6354.99794,3094.25085,3260.74709,0.48690037,0.51309963
1512698400000,4784.7961,2695.47502,2089.32109,0.563341669,0.436658333
1512694800000,4539.06418,2545.84313,1993.22105,0.56087401,0.43912599
1512691200000,5447.55634,3037.3941,2410.16225,0.55757002,0.442429981
1512687600000,5170.02736,3095.92611,2074.10125,0.598821997,0.401178003
1512684000000,6159.20234,3940.7952,2218.40714,0.639822331,0.360177669
1512680400000,3361.97945,1849.16743,1512.81202,0.550023418,0.449976582
1512676800000,8062.67035,3539.60838,4523.06197,0.439011919,0.560988081
1512673200000,6344.35574,3331.02472,3013.33102,0.525037507,0.474962493
1512669600000,7516.47842,3742.25952,3774.2189,0.497874046,0.502125954
1512666000000,13435.36129,6365.02033,7070.34096,0.473751334,0.526248666
1512662400000,8921.24816,4413.62039,4507.62777,0.494731265,0.505268735
1512658800000,6412.07249,3938.17115,2473.90133,0.614180697,0.385819302
1512655200000,5908.33655,3596.21917,2312.11738,0.60866864,0.39133136
1512651600000,4856.60249,3065.77337,1790.82912,0.631258864,0.368741136
1512648000000,9554.37082,3711.80347,5842.56736,0.388492716,0.611507285
1512644400000,5713.46662,4074.12104,1639.34558,0.713073395,0.286926605
1512640800000,2544.03694,1722.52745,821.50949,0.677084292,0.322915708
1512637200000,6106.79941,3786.78339,2320.01602,0.620092971,0.379907029
1512633600000,2531.50355,1383.09129,1148.41226,0.546351709,0.453648291
1512630000000,2543.15166,1296.71946,1246.4322,0.509886799,0.490113201
1512626400000,4423.87012,2195.41419,2228.45593,0.496265516,0.503734484
1512622800000,2820.70758,1993.64273,827.06485,0.706788163,0.293211837
1512619200000,3041.46599,1686.99981,1354.46617,0.554666669,0.445333328
1512615600000,6132.30133,2782.61642,3349.68491,0.453763811,0.546236189
1512612000000,6345.84777,3130.79128,3215.05649,0.493360603,0.506639397
1512608400000,7499.46401,4969.26932,2530.1947,0.662616597,0.337383405
1512604800000,7423.7671,3748.53333,3675.23377,0.504936817,0.495063183
1512601200000,6279.98734,4323.39344,1956.5939,0.688439834,0.311560166
1512597600000,3258.88073,1691.33387,1567.54686,0.518992258,0.481007742
1512594000000,5171.54589,2551.46134,2620.08455,0.49336531,0.50663469
1512590400000,4570.95402,3159.15051,1411.80351,0.69113592,0.30886408
1512586800000,2057.17069,1403.03731,654.13338,0.682022798,0.317977202
1512583200000,3032.85735,1754.58649,1278.27087,0.578525887,0.421474116
1512579600000,4237.771,2607.73763,1630.03337,0.615355957,0.384644043
1512576000000,4318.41292,1372.67224,2945.74068,0.317864981,0.682135019
1512572400000,1695.92727,983.6888,712.23847,0.580030062,0.419969938
1512568800000,2623.04076,1267.11063,1355.93013,0.483069363,0.516930637
1512565200000,1987.79364,1035.22313,952.57051,0.52079004,0.47920996
1512561600000,4846.30596,2139.95437,2706.35159,0.441564026,0.558435974
1512558000000,2782.38782,1845.39778,936.99003,0.663242474,0.336757523
1512554400000,1936.41036,1379.90412,556.50625,0.712609346,0.287390659
1512550800000,1877.70582,972.49893,905.20689,0.517918685,0.482081315
1512547200000,3371.45667,2072.98654,1298.47014,0.614863765,0.385136238
1512543600000,2614.91653,1621.49809,993.41845,0.620095545,0.379904459
1512540000000,2114.62564,1272.44527,842.18037,0.601735478,0.398264522
1512536400000,2063.11239,986.92428,1076.18812,0.478366707,0.521633298
1512532800000,3419.31936,1896.3355,1522.98386,0.554594438,0.445405562
1512529200000,6317.49878,4071.51523,2245.98355,0.644482155,0.355517845
1512525600000,2585.89134,1331.53469,1254.35665,0.514922909,0.485077091
1512522000000,3015.66181,1957.62425,1058.03756,0.649152449,0.350847551
1512518400000,2404.98487,1142.07918,1262.90569,0.474879985,0.525120015
1512514800000,1796.06666,795.50795,1000.55871,0.442916718,0.557083282
1512511200000,946.67267,508.39501,438.27766,0.537033577,0.462966423
1512507600000,1138.26356,625.46858,512.79498,0.549493634,0.450506366
1512504000000,1481.64281,763.86462,717.77819,0.515552477,0.484447523
1512500400000,1484.14057,765.42986,718.71071,0.515739463,0.484260537
1512496800000,2193.12149,1180.5912,1012.53029,0.538315458,0.461684542
1512493200000,6026.10077,2188.03871,3838.06207,0.363093615,0.636906387
1512489600000,1602.05835,877.89563,724.16272,0.54797981,0.45202019
1512486000000,1394.94956,842.39336,552.5562,0.603888043,0.396111957
1512482400000,4713.08373,2893.6243,1819.45943,0.613955632,0.386044368
1512478800000,1375.85517,744.11548,631.73969,0.540838524,0.459161476
1512475200000,938.50803,455.13272,483.37531,0.484953464,0.515046536
1512471600000,2702.78348,1115.95044,1586.83304,0.412889323,0.587110677
1512468000000,1728.54604,679.25879,1049.28725,0.392965402,0.607034598
1512464400000,2128.21414,1082.46658,1045.74756,0.508626721,0.491373279
1512460800000,4356.98063,3418.26364,938.71699,0.784548735,0.215451265
1512457200000,711.26422,245.90138,465.36284,0.345724378,0.654275622
1512453600000,944.49102,552.54403,391.94698,0.58501777,0.41498222
1512450000000,1934.33631,754.17798,1180.15833,0.389889791,0.610110209
1512446400000,1093.56861,566.17643,527.39218,0.517732884,0.482267116
