timestamp,amount
1518998400000,-15425.544843903
1519002000000,-15523.886091436
1519005600000,-15733.89337146
1519009200000,-15669.135962604
1519012800000,-15655.346165941
1519016400000,-15819.380772054
1519020000000,-15994.97455777
1519023600000,-15612.274166207
1519027200000,-15986.216428398
1519030800000,-16202.619884375
1519034400000,-15829.694495047
1519038000000,-15791.21536853
1519041600000,-16057.696664908
1519045200000,-16177.983081902
1519048800000,-16160.995934991
1519052400000,-16584.959673495
1519056000000,-16586.13294047
1519059600000,-16392.939062356
1519063200000,-16610.430648443
1519066800000,-16689.626681723
1519070400000,-16699.264904772
1519074000000,-16833.334717962
1519077600000,-16945.77097834
1519081200000,-16866.399460534
1519084800000,-16476.916585779
1519088400000,-16421.281284419
1519092000000,-16493.407303049
1519095600000,-16388.636012943
1519099200000,-16268.608857954
1519102800000,-16314.392753712
1519106400000,-16301.897147373
1519110000000,-16058.565828751
1519113600000,-15986.150904924
1519117200000,-15903.235961514
1519120800000,-16190.819162528
1519124400000,-16158.886742851
1519128000000,-16202.231581062
1519131600000,-16161.822790306
1519135200000,-16298.244615117
1519138800000,-16535.540846996
1519142400000,-16643.209861751
1519146000000,-16720.406181906
1519149600000,-16845.797527707
1519153200000,-16832.801957341
1519156800000,-16917.380263759
1519160400000,-17133.525698101
1519164000000,-17212.779198038
1519167600000,-17434.393850017
1519171200000,-17677.186616384
1519174800000,-17434.819437315
1519178400000,-17705.917575746
1519182000000,-17680.374945368
1519185600000,-17790.82247231
1519189200000,-17767.542217135
1519192800000,-17715.43892982
1519196400000,-17705.973371212
1519200000000,-17715.360183465
1519203600000,-17613.520915117
1519207200000,-17829.00585886
1519210800000,-17918.383955598
1519214400000,-17892.89500824
1519218000000,-17843.195341528
1519221600000,-18264.285055279
1519225200000,-18682.949238908
1519228800000,-19162.884856356
1519232400000,-19196.547639319
1519236000000,-19056.053952116
1519239600000,-19287.841026864
1519243200000,-19247.565127807
1519246800000,-18983.38644138
1519250400000,-19149.084626517
1519254000000,-19050.879385233
1519257600000,-19126.412077244
1519261200000,-19190.368715618
1519264800000,-19484.604906227
1519268400000,-19799.339685079
1519272000000,-19860.851140783
1519275600000,-19756.268163908
1519279200000,-19841.826778263
1519282800000,-20083.139724676
1519286400000,-20007.580259521
1519290000000,-20252.778981181
1519293600000,-20428.118822883
1519297200000,-20542.466564986
1519300800000,-20965.608025213
1519304400000,-20773.052159808
1519308000000,-20240.651728955
1519311600000,-19326.075388496
1519315200000,-19103.92904583
1519318800000,-18656.849721562
1519322400000,-17782.787090966
1519326000000,-17864.106319066
1519329600000,-17975.978544177
1519333200000,-17783.287469803
1519336800000,-17569.685942262
1519340400000,-17524.205538332
1519344000000,-15891.522029319
1519347600000,-15034.487694482
1519351200000,-14679.546383903
1519354800000,-14429.634695004
1519358400000,-14128.649216769
1519362000000,-14210.671278527
1519365600000,-14238.13967012
1519369200000,-14333.469747598
1519372800000,-14363.183088805
1519376400000,-14244.227391708
1519380000000,-14184.889300226
1519383600000,-14276.576934714
1519387200000,-14405.428924846
1519390800000,-14362.160083366
1519394400000,-14239.961318149
1519398000000,-14171.105085118
1519401600000,-14295.996812089
1519405200000,-14180.117242011
1519408800000,-14156.450656414
1519412400000,-14116.325304767
1519416000000,-14085.995273594
1519419600000,-14064.28318138
1519423200000,-14004.511031913
1519426800000,-13913.623790183
1519430400000,-13895.514928228
1519434000000,-13769.633034108
1519437600000,-13509.53602922
1519441200000,-13405.658776575
1519444800000,-13283.290570503
1519448400000,-13355.38825938
1519452000000,-13628.991582854
1519455600000,-13858.247801957
1519459200000,-14266.75961197
1519462800000,-14308.971326073
1519466400000,-14735.083546796
1519470000000,-15517.838747463
1519473600000,-16028.986526068
1519477200000,-16618.171287874
1519480800000,-17007.198480642
1519484400000,-17607.34891604
1519488000000,-18312.846717076
1519491600000,-18688.441379798
1519495200000,-18899.170706305
1519498800000,-19362.184840818
1519502400000,-19735.472953882
1519506000000,-19771.641244237
1519509600000,-19969.495042146
1519513200000,-19898.55530841
1519516800000,-19965.789204813
1519520400000,-20009.276176381
1519524000000,-20135.735279104
1519527600000,-20050.892602559
1519531200000,-19927.132179503
1519534800000,-20001.011570877
1519538400000,-20232.515717451
1519542000000,-20462.554053195
1519545600000,-20485.740422601
1519549200000,-20582.629224844
1519552800000,-20660.983256377
1519556400000,-20761.717769669
1519560000000,-20904.735838035
1519563600000,-21059.741476951
1519567200000,-21194.058818966
1519570800000,-21252.380886494
1519574400000,-21279.915919739
1519578000000,-21391.201372861
1519581600000,-21436.80717784
1519585200000,-21426.340391922
1519588800000,-21472.872736309
1519592400000,-21488.192972775
1519596000000,-21473.541647496
1519599600000,-21363.570151238
1519603200000,-21345.051552064
1519606800000,-21208.367534556
1519610400000,-21285.11468476
1519614000000,-21412.911336809
1519617600000,-21497.677711032
1519621200000,-21574.630084643
1519624800000,-21676.036390028
1519628400000,-21776.638065993
1519632000000,-21823.786501318
1519635600000,-21830.959726335
1519639200000,-21893.590550913
1519642800000,-21950.803934311
1519646400000,-22016.55376501
1519650000000,-21863.218321108
1519653600000,-21670.700415947
1519657200000,-21488.437163277
1519660800000,-21115.506817222
1519664400000,-20910.509105492
1519668000000,-20938.375781642
1519671600000,-21077.575060869
1519675200000,-21265.745199603
1519678800000,-21430.761549011
1519682400000,-21745.570204152
1519686000000,-22199.32950313
1519689600000,-22243.261175119
1519693200000,-22350.418561623
1519696800000,-22258.631359317
1519700400000,-22126.852728959
1519704000000,-21496.437267182
1519707600000,-21334.812374153
1519711200000,-21295.515716298
1519714800000,-21258.499381839
1519718400000,-20749.578288511
1519722000000,-20650.356198275
1519725600000,-20585.503320102
1519729200000,-20522.146395887
1519732800000,-20549.865302645
1519736400000,-20672.880556944
1519740000000,-20987.164658088
1519743600000,-21063.109208197
1519747200000,-21029.732797044
1519750800000,-21014.34481466
1519754400000,-20992.934956213
1519758000000,-20918.884788953
1519761600000,-20972.671336356
1519765200000,-20977.576586485
1519768800000,-20920.622294898
1519772400000,-20851.739139838
1519776000000,-20877.244947717
1519779600000,-20830.165394727
1519783200000,-20815.839574304
1519786800000,-20611.871876677
1519790400000,-20415.028251507
1519794000000,-20310.028387011
1519797600000,-20215.265272875
1519801200000,-20291.503006765
1519804800000,-20301.735246559
1519808400000,-20001.905414576
1519812000000,-20237.520059639
1519815600000,-20483.59808035
1519819200000,-20637.43288033
1519822800000,-20647.217251423
1519826400000,-20518.213219361
1519830000000,-20500.037149681
1519833600000,-20502.185014029
1519837200000,-20573.242470104
1519840800000,-20518.961646993
1519844400000,-20449.296093828
1519848000000,-20378.275417266
1519851600000,-20378.685984845
1519855200000,-20429.128380152
1519858800000,-20496.670915393
1519862400000,-20560.54975909
1519866000000,-20651.49705679
1519869600000,-20673.91082917
1519873200000,-20677.590170796
1519876800000,-20622.353070471
1519880400000,-20618.965976451
1519884000000,-20713.598487571
1519887600000,-20631.862248666
1519891200000,-20424.822952348
1519894800000,-20420.1635994
1519898400000,-20426.174769582
1519902000000,-20325.096657955
1519905600000,-20175.508953301
1519909200000,-20060.002887465
1519912800000,-20037.694840974
1519916400000,-20031.462699822
1519920000000,-19985.350954414
1519923600000,-19991.994044602
1519927200000,-20208.655315238
1519930800000,-20500.24101298
1519934400000,-20566.072513459
1519938000000,-20536.04167128
1519941600000,-20450.787723873
1519945200000,-20310.587609107
1519948800000,-20177.393677667
1519952400000,-19989.825995277
1519956000000,-19666.631759185
1519959600000,-19468.472698022
1519963200000,-19342.8438167
1519966800000,-19229.869445073
1519970400000,-19055.654560498
1519974000000,-19026.982160297
1519977600000,-18999.497642946
1519981200000,-18901.476697512
1519984800000,-18868.358093555
1519988400000,-18821.826147931
1519992000000,-18772.858430791
1519995600000,-18729.059605822
1519999200000,-18991.916783778
1520002800000,-19091.321251819
1520006400000,-19184.323123004
1520010000000,-19177.836579624
1520013600000,-19232.110730828
1520017200000,-19240.083802337
1520020800000,-19222.486835436
1520024400000,-19247.362892036
1520028000000,-19249.705405993
1520031600000,-19243.396403365
1520035200000,-19242.872780765
1520038800000,-18990.397491624
1520042400000,-18109.985494906
1520046000000,-17558.238844419
1520049600000,-17554.038870441
1520053200000,-17444.934688768
1520056800000,-17451.119288566
1520060400000,-17351.374843603
1520064000000,-17381.647469723
1520067600000,-17397.631415876
1520071200000,-17393.861888624
1520074800000,-17021.69699616
1520078400000,-16958.07358515
1520082000000,-16978.77681528
1520085600000,-17013.217648752
1520089200000,-17071.38573352
1520092800000,-17184.220178312
1520096400000,-17241.051778566
1520100000000,-17192.646952317
1520103600000,-17150.093686163
1520107200000,-17211.257284061
1520110800000,-17469.132719718
1520114400000,-17386.614860798
1520118000000,-16967.012269437
1520121600000,-16961.427160654
1520125200000,-16943.897023288
1520128800000,-16976.414022016
1520132400000,-17058.479259757
1520136000000,-17195.651819785
1520139600000,-17298.662972422
1520143200000,-17408.831455776
1520146800000,-17554.165821713
1520150400000,-17588.197832279
1520154000000,-17705.006280307
1520157600000,-17707.438236479
1520161200000,-17669.562371089
1520164800000,-17323.580702461
1520168400000,-17011.973060165
1520172000000,-17107.768592035
1520175600000,-17100.517734651
1520179200000,-17146.106598763
1520182800000,-17139.44752025
1520186400000,-17084.915499761
1520190000000,-17275.492411996
1520193600000,-17086.541817227
1520197200000,-16963.896273309
1520200800000,-16856.763713436
1520204400000,-16895.411332109
1520208000000,-16890.334893966
1520211600000,-16778.090262605
1520215200000,-16692.109463955
1520218800000,-16307.52119891
1520222400000,-16481.631148353
1520226000000,-16526.881056676
1520229600000,-16599.657589039
1520233200000,-16812.294798109
1520236800000,-16919.543795334
1520240400000,-16981.332976535
1520244000000,-16963.638120138
1520247600000,-16962.976369818
1520251200000,-16934.140300848
1520254800000,-16904.296913257
1520258400000,-16986.232680607
1520262000000,-17181.076292825
1520265600000,-17293.962012615
1520269200000,-17423.681325173
1520272800000,-17487.751802205
1520276400000,-17017.000946737
1520280000000,-16945.811110632
1520283600000,-16931.271341892
1520287200000,-16988.020948258
1520290800000,-17150.803769903
1520294400000,-17474.294556671
1520298000000,-17632.794978251
1520301600000,-17668.74771592
1520305200000,-17678.182458602
1520308800000,-17633.909934525
1520312400000,-17614.204822329
1520316000000,-17628.091100065
1520319600000,-17685.870708208
1520323200000,-17773.202444403
1520326800000,-17797.77405807
1520330400000,-17931.280191876
1520334000000,-17650.762696253
1520337600000,-17744.977587649
1520341200000,-17722.699857775
1520344800000,-17572.9123368
1520348400000,-17583.559829379
1520352000000,-17621.169678541
1520355600000,-17839.653174809
1520359200000,-17866.500994065
1520362800000,-17899.438115531
1520366400000,-17990.837113783
1520370000000,-18009.450837892
1520373600000,-18069.876850452
1520377200000,-18107.456872319
1520380800000,-17980.359313477
1520384400000,-17905.35830239
1520388000000,-17905.149099153
1520391600000,-17932.149648088
1520395200000,-17955.898643931
1520398800000,-17995.511256856
1520402400000,-18136.397345222
1520406000000,-18161.884887541
1520409600000,-18077.983986013
1520413200000,-18102.884870708
1520416800000,-18039.297416746
1520420400000,-18274.056620781
1520424000000,-18451.850630607
