,Pos_Change_Signal,acf_value,acf_pval,df_pval,Y_5,Y_10,Y_20
2018-02-08 13:12:00,-1,0.094341176,0.25503624,0.004170298,0.005855529,0.008222158,1.340986723
2018-02-08 13:13:00,-1,0.082057725,0.275937244,0.004302137,0.004096611,0.005772735,0.830695872
2018-02-08 13:14:00,-1,0.047646108,0.339591168,0.008842711,0.001512429,0.007326531,0.644469505
2018-02-08 13:16:00,-1,0.061769727,0.235885119,0.006650865,0.003023209,0.010248218,0.484991298
2018-02-08 13:17:00,-1,0.062286843,0.279551903,0.002087299,0.002352852,0.010140182,0.702079302
2018-02-08 13:19:00,-1,0.103194507,0.162753739,0.010534618,0.005805322,0.008051315,0.792987933
2018-02-08 13:20:00,-1,0.08202995,0.202371504,0.006001496,0.00720557,0.007012493,0.606446258
2018-02-08 13:21:00,-1,0.140271488,0.185844112,0.005708412,0.007203233,0.005002724,0.258881351
2018-02-08 13:22:00,-1,0.171993869,0.105428853,0.005420847,0.00776905,0.00330886,-0.111732533
2018-02-08 15:00:00,1,0.085743969,0.740670655,0.000901289,-0.003320536,-0.000736533,-0.10265735
2018-02-08 15:01:00,1,0.141479726,0.351086945,0.014090243,-0.001108644,0.001566055,-0.066508219
2018-02-08 15:33:00,1,0.052146464,0.623578529,3.29802E-09,-0.003510182,-0.003408927,0.501032497
2018-02-08 15:34:00,1,0.121469417,0.433467594,4.1022E-09,-0.001356981,-0.00592528,0.652938233
2018-02-08 15:36:00,1,0.076318395,0.517169182,2.49521E-08,0.000436168,-0.005608745,0.299902016
2018-02-08 15:37:00,1,0.136281628,0.342232047,4.26427E-08,-0.000356711,-0.008275311,0.104194525
2018-02-08 16:46:00,-1,0.107382442,0.016757386,1.62648E-07,0.004927505,0.005105398,0.744006537
2018-02-08 16:48:00,-1,0.058114138,0.014794488,1.89229E-10,0.00528181,0.002753211,0.795897721
2018-02-08 16:49:00,-1,0.142406962,0.006178144,4.76777E-09,0.001050868,-0.001694446,0.657759165
2018-02-08 17:01:00,-1,0.196503474,0.243629169,7.92992E-10,-0.003954159,-0.002984455,0.659000546
2018-02-08 17:03:00,-1,0.194985561,0.248494663,8.07495E-10,-0.002157403,2.18538E-05,0.859442854
2018-02-08 17:07:00,-1,0.329121968,0.164992589,0.147787215,0.001666244,0.005249295,0.680024806
2018-02-08 17:08:00,-1,0.344494308,0.177088934,0.074994298,0.002183969,0.00500607,0.430448837
2018-02-08 17:10:00,-1,0.331829454,0.220229578,0.10552363,0.004290198,0.003485755,-0.048736603
2018-02-08 17:11:00,-1,0.311208231,0.264153908,0.06244926,0.003597045,0.000731895,0.336177674
2018-02-08 17:12:00,-1,0.302517662,0.295016242,0.070948952,0.00357709,-0.001594807,0.873594882
2018-02-08 17:13:00,-1,0.260578837,0.478007541,0.088467691,0.002815952,-0.002840927,0.675834639
2018-02-08 17:14:00,-1,0.283545453,0.408474369,0.146299143,0.001883668,-0.004260083,0.294865757
2018-02-08 17:16:00,-1,0.367466281,0.166315257,0.242901724,-0.002854881,-0.004581323,0.488462545
2018-02-08 17:17:00,-1,0.366135368,0.17279618,0.182011352,-0.005153463,-0.005134644,0.706147552
2018-02-08 17:22:00,-1,0.24036516,0.505095829,0.290575421,1.89162E-05,0.016626968,0.463187187
2018-02-08 17:24:00,-1,0.231729711,0.319910198,0.000515206,5.31187E-05,0.018466261,0.222732042
2018-02-08 17:27:00,-1,0.324713012,0.078245021,0.184052571,0.016607737,0.022210461,-0.074250961
2018-02-08 17:29:00,-1,0.274530252,0.089843309,0.001280974,0.018412164,0.021096018,0.007197075
2018-02-08 17:47:00,1,0.063606172,0.500016072,0.001408167,-0.003641176,-0.002502347,0.812277813
2018-02-08 17:49:00,1,0.059619387,0.510005283,0.00140229,-0.003616241,-0.002172946,0.530208696
2018-02-08 17:50:00,1,0.059659912,0.502587111,0.001435953,-0.004459957,-0.003376517,0.335832633
2018-02-08 17:51:00,1,0.061927831,0.499783255,0.001485379,-0.00199655,-1.54293E-05,0.788563194
2018-02-08 17:52:00,1,0.063815615,0.505747713,0.002202153,0.001142991,-4.01592E-05,1.171065639
2018-02-08 17:54:00,1,0.084466552,0.418744213,0.00177534,0.001448534,-0.001226386,0.49498993
2018-02-08 17:55:00,1,0.058183973,0.520285686,0.001055393,0.001088294,-0.001097569,0.23669777
2018-02-08 17:58:00,1,0.04501752,0.610830657,0.000972787,-0.001778959,-0.004911284,-0.570829953
2018-02-08 17:59:00,1,0.039963436,0.601461439,0.000934402,-0.002671051,-0.004271707,0.144912345
2018-02-08 18:28:00,1,0.351309972,0.155673914,0.862572738,8.29465E-05,-0.002933849,0.457400825
2018-02-08 18:30:00,1,0.354305031,0.157587992,0.185316542,-0.001915916,-0.002978334,1.171510252
2018-02-08 18:33:00,1,0.3045935,0.210213735,0.122918898,-0.003016545,-0.0043958,0.680909756
2018-02-08 18:34:00,1,0.299334595,0.214770635,0.076247609,-0.002006823,-0.004081385,0.621538755
2018-02-08 18:35:00,1,0.284365475,0.291484986,0.091206899,-0.001064458,-0.002504246,0.768354212
2018-02-08 18:36:00,1,0.243347853,0.400049706,0.00010086,-0.001357195,-0.001929617,0.399664548
2018-02-08 18:37:00,1,0.255267269,0.370246391,4.78646E-05,-0.001792987,0.000345042,0.324715494
2018-02-08 18:39:00,1,0.30203325,0.2077079,0.154654928,-0.002078733,-0.000320279,0.500383411
2018-02-08 18:40:00,1,0.289949535,0.236245488,0.118184917,-0.001441322,0.001444401,0.00522941
2018-02-08 18:41:00,1,0.284977121,0.221723185,0.113731749,-0.0005732,0.0011464,0.480458807
2018-02-08 18:43:00,1,0.188813104,0.222219309,0.000934331,0.001172452,0.002579395,0.244033606
2018-02-08 18:50:00,1,0.295529861,0.060892,0.004717531,-0.000381338,0.000313558,0.231352119
2018-02-08 18:52:00,1,0.216423694,0.15953237,0.001871335,0.000910366,0.000387398,0.387692838
2018-02-08 18:53:00,1,0.263769396,0.093249741,0.001163052,0.00159708,0.001101732,0.429173732
2018-02-08 18:55:00,1,0.239138799,0.317459944,0.000173842,0.000695161,-0.000766166,0.378262221
2018-02-08 18:58:00,1,0.167528316,0.477138445,2.68843E-08,-0.000494559,-0.006473752,0.268350993
2018-02-08 19:01:00,1,0.011796578,0.811759375,5.10149E-08,-0.003351839,-0.006605365,0.53736025
2018-02-08 19:03:00,1,-0.005741757,0.756749876,3.38821E-07,-0.005982152,-0.006418671,0.829690041
2018-02-08 19:04:00,1,0.019761175,0.736605396,2.57207E-07,-0.00378852,-0.004973394,0.584346119
2018-02-08 19:05:00,1,0.053133396,0.802913748,1.27728E-07,-0.005101633,-0.005729593,0.878090614
2018-02-08 19:06:00,1,-0.006212234,0.811236472,1.33336E-07,-0.003264468,-0.005561001,0.721321077
2018-02-08 19:48:00,-1,0.117329607,0.62772843,0.000559988,0.005911693,0.005898993,0.835101232
2018-02-08 19:51:00,-1,-0.050418612,0.925491888,0.000106255,0.00543235,0.001519574,0.561362298
2018-02-08 19:52:00,-1,-0.038787069,0.956352466,2.68086E-05,0.001563603,-0.002566967,0.797826782
2018-02-08 19:54:00,-1,-0.053198215,0.982167692,7.00723E-05,0.001484668,-0.006611639,0.187734743
2018-02-08 19:55:00,-1,-0.046775785,0.983276693,1.92925E-05,-0.002629598,-0.011491502,0.721993204
2018-02-08 19:57:00,-1,0.041216883,0.983049223,3.05676E-05,-0.004124122,-0.006083475,1.47257696
2018-02-08 19:58:00,-1,-0.042140454,0.986388426,5.40695E-05,-0.003642366,-0.005734991,0.469571722
2018-02-08 20:02:00,-1,-0.068196533,0.960377848,4.48635E-06,-0.001967467,0.000282427,0.652672264
2018-02-08 20:05:00,-1,-0.018080541,0.927812635,7.91872E-07,0.002797158,0.005154672,0.634967664
2018-02-08 20:07:00,-1,-0.100750333,0.624051286,3.31946E-07,0.002254329,0.003631091,0.79710403
2018-02-08 20:10:00,-1,-0.043989131,0.540182178,3.11536E-08,0.002350938,0.002128552,1.05230519
2018-02-08 20:12:00,-1,-0.04170844,0.465081697,9.18062E-08,0.001373666,0.004755484,0.838744984
2018-02-08 20:13:00,-1,-0.047130701,0.444082101,4.07547E-08,0.000136401,0.006077793,0.440145156
2018-02-08 20:15:00,-1,-0.093965381,0.450251054,2.3601E-08,-0.000221864,0.004785933,1.076650988
2018-02-08 20:16:00,-1,-0.104727957,0.412026437,7.94334E-09,0.001023396,-0.002344621,0.922589476
2018-02-08 20:19:00,-1,-0.006838602,0.229561427,3.2529E-12,0.007292232,-0.000856417,0.37534217
2018-02-08 20:20:00,-1,-0.006301608,0.213358018,1.27796E-09,0.005008908,-0.000992271,0.318801159
2018-02-08 20:21:00,-1,-0.00834374,0.098075793,2.13079E-09,-0.003364574,-0.002009882,0.529409158
2018-02-08 20:22:00,-1,-0.005560796,0.143368388,5.18591E-09,-0.00351118,-0.002232298,0.878035073
2018-02-08 20:30:00,-1,-0.030829914,0.627740917,5.953E-07,0.001961127,0.006508401,0.684410948
2018-02-08 20:31:00,-1,-0.057974799,0.518856831,3.39766E-07,0.005486641,0.007887626,0.480475985
2018-02-08 20:34:00,-1,-0.1528864,0.78979133,3.44632E-07,0.004121123,0.007582866,0.822170374
2018-02-08 23:11:00,-1,-0.145210512,0.49383924,0.001453065,-0.004353685,0.000951654,1.141033011
2018-02-08 23:17:00,-1,-0.11025178,0.650224684,0.001385918,0.004384636,0.00397111,0.681881889
2018-02-08 23:18:00,-1,-0.096433674,0.636730805,0.000446276,0.003843171,0.001872718,0.581406493
2018-02-08 23:19:00,-1,-0.147157943,0.575378264,0.000547538,0.000708744,0.001959283,0.767765062
2018-02-08 23:20:00,-1,-0.133107241,0.605271974,0.00053326,-0.001096383,-0.000251349,0.462849284
2018-02-08 23:22:00,-1,-0.03393831,0.407173486,0.002763751,-0.000411721,-0.002806614,0.853056632
2018-02-08 23:24:00,-1,-0.081411846,0.607774997,0.000276598,0.001249654,0.000192012,0.659489814
2018-02-08 23:25:00,-1,-0.068321517,0.753736159,0.000571001,0.000845962,-0.001261268,0.380160662
2018-02-08 23:28:00,-1,-0.093138898,0.732992367,3.7973E-05,-0.002932847,-0.003247656,0.700547549
2018-02-08 23:29:00,-1,0.059725272,0.822224205,0.000209451,-0.001056321,-0.008884418,0.913953817
2018-02-08 23:33:00,-1,0.031234726,0.55448346,0.000918156,-0.000315735,-0.006927612,0.750997324
2018-02-08 23:41:00,-1,0.007366038,0.73743452,0.00078188,0.001062017,0.005310083,0.666157916
2018-02-08 23:43:00,-1,-0.094004872,0.309960143,0.00346827,0.003225776,0.007099885,0.73015989
2018-02-08 23:45:00,-1,-0.049519916,0.713506058,4.84921E-06,0.005804283,0.008921103,0.478263359
2018-02-08 23:46:00,-1,-0.011598259,0.572073587,1.10849E-06,0.00424356,0.007832799,0.753327192
2018-02-08 23:48:00,-1,0.013715481,0.707922083,1.30741E-05,0.003861652,0.000453008,0.398938125
2018-02-08 23:49:00,-1,-0.027575387,0.617609339,2.90614E-06,0.001866049,-0.002337306,0.681342037
2018-02-08 23:51:00,-1,0.046932965,0.58467928,4.18836E-07,0.003574072,0.001040593,0.670008793
2018-02-08 23:52:00,-1,0.033086262,0.689051863,6.92488E-07,0.00010115,0.000275001,0.508393839
2018-02-08 23:54:00,-1,0.000310282,0.836308976,2.72098E-06,-0.004195526,-0.00031569,-0.01757133
2018-02-09 00:10:00,-1,0.032966252,0.96726915,1.78082E-05,-0.000495257,0.000341759,0.505580425
2018-02-09 00:11:00,-1,0.127411896,0.812961819,1.33426E-05,-0.001482106,-0.00032903,0.602346019
2018-02-09 00:13:00,-1,0.077110116,0.735507984,6.66962E-05,-0.000488426,0.000673885,0.103557645
2018-02-09 00:16:00,-1,0.072592857,0.490406331,0.000883595,0.001154787,0.002914354,0.922086152
2018-02-09 00:18:00,-1,-0.024019913,0.546963513,0.001069694,0.00116288,0.001820993,0.668924272
2018-02-09 00:21:00,-1,-0.016895925,0.526692652,0.000235451,0.001757537,0.00194914,0.253922502
2018-02-09 00:22:00,-1,-0.019745299,0.530204819,0.000201768,0.001375915,0.001532356,0.3996686
2018-02-09 00:23:00,-1,-0.013829009,0.546175305,0.000100864,0.000657349,0.000398877,0.564873317
2018-02-09 00:25:00,-1,-0.033536768,0.437578658,0.000264407,0.00092839,0.001221901,0.458624452
2018-02-09 00:26:00,-1,0.013349966,0.527674501,0.000168664,0.000191267,0.003145128,0.473740622
2018-02-09 00:28:00,-1,-0.00260753,0.917780496,8.30749E-05,-0.000258302,0.007433368,0.86105247
2018-02-09 00:29:00,-1,0.092817802,0.872013541,6.43501E-05,-0.00121473,0.007381744,0.973107577
2018-02-09 00:31:00,-1,0.112600431,0.565404269,0.000871325,0.002953296,0.007657648,0.742636119
2018-02-09 00:34:00,-1,0.102839098,0.489851766,0.000573588,0.008606929,0.008766553,0.716277822
2018-02-09 01:05:00,-1,0.221919198,0.532685975,9.43384E-05,-0.001113741,0.008621182,0.157529335
2018-02-09 01:07:00,-1,0.034391633,0.992715181,9.29638E-06,0.003204609,0.010655563,-0.081493621
2018-02-09 01:09:00,-1,0.099505573,0.79652879,2.41832E-07,0.006808841,0.013446361,-0.040453465
2018-02-09 01:10:00,-1,0.13848097,0.639171565,8.90904E-08,0.009745778,0.012979546,-0.085142137
2018-02-09 01:11:00,-1,0.153547444,0.577567894,3.99903E-08,0.007709199,0.010969686,-0.088711236
2018-02-09 01:12:00,-1,0.063565644,0.81742651,4.30608E-07,0.007427153,0.010029506,0.184038902
2018-02-09 01:13:00,-1,0.105236625,0.810559604,3.98534E-07,0.006013803,0.0065697,-0.054973863
2018-02-09 01:14:00,-1,0.212716472,0.594559372,2.80396E-06,0.006592632,0.006882967,-0.045680353
2018-02-09 02:02:00,1,-0.010771769,0.732281073,5.92472E-08,0.003734999,0.010424922,0.164495978
2018-02-09 02:04:00,1,-0.058341081,0.907575086,4.82352E-06,0.006769787,0.007953518,-0.175039332
2018-02-09 02:09:00,1,0.444664387,0.034776448,0.538064294,0.001175772,0.001924755,0.090488244
2018-02-09 02:13:00,1,0.308713993,0.330909968,0.101055055,-0.000527775,-0.004544125,0.173107583
2018-02-09 02:15:00,1,0.196692375,0.71887567,3.50935E-05,0.000398521,-0.00495051,0.083394977
2018-02-09 02:20:00,1,0.248516507,0.478558341,9.1075E-07,-0.0053469,-0.005380859,0.343516729
2018-02-09 02:21:00,1,0.256618733,0.448752786,6.32823E-07,-0.003199441,-0.003811508,0.085646102
2018-02-09 02:22:00,1,0.249563195,0.498857966,4.66066E-06,-0.003152603,-0.003765179,0.107587594
2018-02-09 02:23:00,1,0.225464144,0.59843684,1.94124E-05,-0.001004794,-0.000477588,-0.037382076
2018-02-09 02:24:00,1,0.30502045,0.301802322,0.5096939,0.00062666,-0.000487154,0.015266228
2018-02-09 02:26:00,1,0.372252512,0.084505519,0.232008791,-0.000614032,-0.001035791,0.138749422
2018-02-09 02:27:00,1,0.356648818,0.119529727,0.192036395,-0.000614514,-0.001024189,-0.021743853
2018-02-09 02:46:00,1,0.065343201,0.793930401,0.000155983,0.000574809,0.002048914,0.233675128
2018-02-09 02:47:00,1,0.187991072,0.455080046,0.000465888,0.000278288,0.001447097,0.364229482
2018-02-09 02:48:00,1,0.158766483,0.471344922,0.000217585,0.001846295,0.001855572,0.212226317
2018-02-09 02:51:00,1,0.165296851,0.541005271,0.000239789,0.001473259,-0.000311948,0.471405804
2018-02-09 02:53:00,1,-0.000895943,0.861256854,2.793E-06,9.26015E-06,-0.002666922,0.406307394
2018-02-09 02:56:00,1,0.082511883,0.685352627,3.0172E-07,-0.001782581,-0.007839654,0.070782022
2018-02-09 02:59:00,1,0.049117637,0.741607693,2.36473E-07,-0.002758238,-0.007669999,-0.078119215
2018-02-09 03:00:00,1,0.034693437,0.881053619,5.95196E-07,-0.006142411,-0.006926418,0.249471413
2018-02-09 03:02:00,1,-0.022739292,0.980528034,2.65618E-06,-0.006341176,-0.007907165,0.422054195
2018-02-09 03:04:00,1,0.041179696,0.99552431,3.58017E-05,-0.004925346,-0.00845229,-0.236447563
2018-02-09 03:05:00,1,0.038092653,0.989452833,3.58102E-06,-0.000788852,-0.00434179,0.01122095
2018-02-09 03:40:00,1,0.010535654,0.542516382,7.60582E-06,-0.002848446,-0.000837778,0.196471402
2018-02-09 03:42:00,1,-0.002392742,0.471962519,1.72504E-06,-0.002097392,-0.000114798,0.422255317
2018-02-09 03:43:00,1,0.007275074,0.376680142,3.29521E-08,-0.000372792,0.000984793,0.160626913
2018-02-09 03:44:00,1,0.025032368,0.567362577,4.53173E-07,0.000177271,0.003165994,0.304961716
2018-02-09 03:46:00,1,0.049245279,0.581165998,9.16891E-07,0.000820164,0.00850286,0.394278116
2018-02-09 03:48:00,1,-0.04254018,0.628480915,4.9903E-08,0.001358092,0.010355062,0.18343563
2018-02-09 03:52:00,1,0.168513385,0.752356729,5.3928E-05,0.008790696,0.013659439,0.309469137
2018-02-09 03:58:00,1,0.22044266,0.028090331,0.0324633,0.006225643,0.007234541,0.33494511
2018-02-09 04:03:00,1,0.048800911,0.044287103,0.033262495,0.001002656,0.000917064,0.227642749
2018-02-09 04:06:00,1,-0.002329558,0.149907475,0.005945674,-0.003211733,0.000158755,0.014809998
2018-02-09 04:07:00,1,-0.01106539,0.144545195,0.004011421,-3.05382E-06,0.001077998,0.222748497
2018-02-09 04:08:00,1,-0.038328171,0.19478749,0.002298786,-8.55069E-05,0.004889162,0.325356762
2018-02-09 04:09:00,1,-0.035286333,0.182904112,0.001237234,-0.000287115,0.005271797,0.364712351
2018-02-09 04:10:00,1,-0.054456453,0.114637473,0.003351881,0.000978998,0.007025188,0.27652804
