,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
3/27/18 8:25,-0.019416204,0.057352087,-1.135023304,-0.000584067,0.003393981,-0.001994865,0.000539987
3/27/18 8:27,-0.049215451,0.162150148,-1.013233228,-0.001543431,0.000170659,-0.003120156,0.001978899
3/27/18 8:31,-0.010211965,0.082904645,-0.852766947,0.003688186,0.000679153,-0.006046116,0.004096782
3/27/18 8:32,-0.080001223,0.108366488,-0.777591002,0.00171674,-0.001015823,-0.008513035,0.005675356
3/27/18 8:33,-0.082717276,0.155562433,-0.880712882,-0.000881323,-0.002743582,-0.012005512,0.004253444
3/27/18 8:38,-0.282874845,0.073800452,-1.071233987,-0.001863902,-0.004472483,-0.008222124,0.005310246
3/27/18 8:39,-0.272650572,0.112105229,-1.120718511,-0.002316015,-0.00455483,-0.008177519,0.005227577
3/27/18 8:42,-0.289764186,0.24897112,-0.857131122,-0.000563913,-0.007504836,-0.004940812,0.012732578
3/27/18 8:44,-0.261137146,0.121566608,-1.024556827,-0.002244012,-0.009893329,-0.003459758,0.011358458
3/27/18 8:49,-0.213924878,0.04765939,-0.764402806,-0.007666521,-0.003639265,0.012358744,0.009090629
3/27/18 8:55,-0.129921464,-1.151150829,0.942937132,0.005598104,0.00697813,0.018113102,0.034193151
3/27/18 8:56,-0.120769843,-1.023709319,0.327408545,0.005339589,0.009774352,0.018693923,0.033355675
3/27/18 8:57,-0.149876748,-0.858745097,-0.204382512,0.004205197,0.01067473,0.017015988,0.033150781
3/27/18 8:58,-0.148982382,-0.712874823,-0.471792688,0.001701427,0.010647821,0.013627877,0.028796157
3/27/18 8:59,-0.075502036,-0.574195856,-0.682358314,0.002429627,0.016056443,0.013432223,0.024507542
3/27/18 9:00,-0.060723185,-0.454141903,-0.778890115,0.001372344,0.012839808,0.011745488,0.026691261
3/27/18 9:01,-0.010040686,-0.33904138,-0.826281746,0.004411209,0.00928354,0.011605813,0.024878108
3/27/18 9:02,0.032502906,-0.225900111,-0.848456504,0.006442442,0.011446664,0.01228507,0.024448177
3/27/18 9:03,0.017752507,-0.131931557,-0.860663262,0.008931198,0.010646166,0.009580639,0.024678527
3/27/18 9:05,0.215342459,0.045186165,-0.704719964,0.011451748,0.011057809,0.007507033,0.022299161
3/27/18 9:06,0.196338449,-0.104972709,-0.759651238,0.004850932,0.008833232,0.00549256,0.01984623
3/27/18 14:01,-0.077192832,1.600394517,3.751981683,0.002294504,-0.000290958,0.003760273,0.001037566
3/27/18 14:02,-0.122894096,1.294033896,3.914258623,-0.002644429,0.003313546,0.00323147,0.001535963
3/27/18 14:03,0.017086407,-0.09599552,-0.916245961,-0.00244476,0.002071797,0.003480768,0.005289452
3/27/18 14:05,0.057919988,-0.263789735,-0.861230255,-0.001951273,0.00172068,0.002981051,0.004449656
3/27/18 14:07,0.132352938,-0.10719572,-0.980004211,0.005973772,0.00716769,0.006188307,0.006771624
3/27/18 14:08,0.100778802,-0.029286899,-1.090949107,0.004527626,0.008302662,0.00525296,0.003264005
3/27/18 14:09,0.1793515,-0.031863198,-1.064543335,0.004086682,0.004883408,0.004960092,0.001257711
3/27/18 14:11,0.13535231,0.122800791,-0.944471909,0.004590783,0.00405241,0.002833326,0.001663884
3/27/18 14:34,-0.02351586,-0.66134141,0.294716182,-0.006997602,-0.006198408,-0.00354808,-9.89958E-05
3/27/18 14:38,-0.018836974,-1.178764846,1.107050151,0.00192543,0.003354168,0.004076811,0.007050129
3/27/18 14:39,-0.023791222,-1.239635501,1.066906431,0.000804826,0.003732769,0.00319813,0.006407067
3/27/18 14:41,-0.088683118,-1.162796133,0.356900168,0.000281012,0.002611757,0.004733121,0.005675338
3/27/18 14:42,-0.089211801,-1.091539105,-0.024129846,0.00014853,0.003399004,0.00571841,0.005939001
3/27/18 14:44,-0.118084216,-0.855110209,-0.742054367,0.002925588,0.002666858,0.009873172,0.005586717
3/27/18 14:46,-0.09528967,-0.567886485,-1.257409309,0.002330091,0.001355088,0.009799601,-0.002043649
3/27/18 14:47,-0.124315681,-0.429077457,-1.451248842,0.003249991,0.001537081,0.00815274,-9.34235E-05
3/27/18 14:48,-0.074441252,-0.311655796,-1.516113139,-0.00150665,0.000720227,0.00380456,-0.001951761
3/27/18 14:49,-0.095024551,-0.220370594,-1.511926763,-0.000257975,-0.000532651,0.001323936,-0.002125989
3/27/18 14:51,-0.059093927,-0.151217747,-1.650890208,-0.000972736,0.002115838,0.002451075,0.003192992
3/27/18 14:53,-0.069369153,0.055944649,-1.606600457,0.002230237,0.009817581,0.003342493,0.005137519
3/27/18 14:56,-0.000680969,0.327167317,-1.315818206,0.003091581,0.008433085,0.002508472,0.006480218
3/27/18 14:57,-0.013430636,0.409232069,-1.185802859,0.004025784,0.006605507,0.003393503,0.006270006
3/27/18 14:59,-0.021776021,0.560200493,-0.724006535,0.007463943,0.001857576,0.00546346,0.003913464
3/27/18 15:16,0.070194653,0.966265838,0.324689254,0.004000219,0.004027656,0.001656936,0.002057726
3/27/18 15:17,0.122243777,0.903502698,0.305458372,0.003058624,0.002954477,0.000443774,0.000345109
3/27/18 15:18,0.124885189,0.904306126,0.278175095,0.00204266,0.002015279,-0.000262862,-4.40295E-05
3/27/18 15:37,0.117595279,-0.029772383,-0.958430594,0.000405663,-0.00544588,0.002421925,0.002427404
3/27/18 15:39,0.143527399,-0.134686226,-1.331975457,-1.09578E-05,-0.004777612,0.000712478,0.003309044
3/27/18 15:41,0.207107012,-0.191052311,-1.216587516,-0.007396571,0.000136974,-0.002936713,0.004810292
3/27/18 15:46,0.202724162,-2.258480942,7.982538275,0.007589682,0.009907985,0.006861073,0.011839905
3/27/18 15:47,0.104113126,-2.084130015,5.357043784,0.005712586,0.007910887,0.003569815,0.010335056
3/27/18 15:48,-0.05062054,-1.900174813,3.610027658,0.005585792,0.007122491,0.003762422,0.011160346
3/27/18 15:49,-0.059476753,-1.665575034,2.223492215,0.005780696,0.005516445,0.003545578,0.012651203
3/27/18 15:50,-0.087500462,-1.478326523,1.50005386,0.006287594,0.002797662,0.001797178,0.011992396
3/27/18 15:51,-0.061135927,-1.46751679,1.529443751,0.00230084,-0.003073265,-0.00081647,0.008551238
3/27/18 15:53,0.006879605,-1.455619945,1.592008611,0.001528163,0.000487329,-0.000323425,0.012029845
3/27/18 15:54,0.007318397,-1.498771318,1.7141123,-0.000262732,-0.000252003,-0.000919998,0.0110564
3/27/18 16:03,0.0351814,-1.294647554,1.395314121,-0.00229945,-0.00081036,0.002031594,0.004856463
3/27/18 16:08,-0.046220964,-1.102444651,1.079699705,0.001492523,0.002096205,0.001026041,0.008747908
3/27/18 18:27,-0.028958903,-0.408236124,-1.419391948,0.005311083,0.004371441,-0.001366075,-0.005000055
3/27/18 18:28,-0.028559626,-0.372422276,-1.388673927,0.001939382,0.001389102,-0.004642182,-0.009720011
3/27/18 18:29,-0.02791784,-0.365227555,-1.362241115,0.000369899,-0.000217933,-0.005606609,-0.010679161
3/27/18 18:42,0.036202677,-0.712755494,-1.099077773,0.000876251,0.000426953,0.00714123,-0.01624351
3/27/18 18:44,-0.043116678,-0.714186259,-1.092740942,0.000120433,0.000679024,0.004587408,-0.018897275
3/27/18 18:48,0.118065443,-0.560808581,-1.282206244,1.64212E-05,0.005293311,0.001062122,-0.022294261
3/27/18 18:49,0.124202387,-0.437540221,-1.447902302,0.000558524,0.005801989,0.001675133,-0.020186325
3/27/18 18:51,0.123781407,-0.204902064,-1.65654099,0.001554682,0.006437699,-0.003202427,-0.019734395
3/27/18 18:52,0.117328467,-0.082182332,-1.701110532,0.005994286,0.006711411,-0.003218631,-0.019345724
3/27/18 18:53,0.117874226,0.044171126,-1.713187607,0.005276803,0.004318698,-0.004269216,-0.015966592
3/27/18 18:54,0.10987802,0.174510182,-1.685719751,0.005240539,0.003905732,-0.004179477,-0.01780107
3/27/18 18:56,0.107344682,0.27364443,-1.697837628,0.004875437,0.002071514,-0.007023471,-0.020556416
3/27/18 18:58,0.17625251,0.081315215,-1.847505151,-0.000953076,-0.00420891,-0.011233053,-0.023832341
3/27/18 19:13,0.132322938,0.036707053,-0.40877569,-0.001753796,0.000538716,-0.008207175,-0.011851754
3/27/18 19:15,0.088037166,-0.358118765,-0.03834499,0.004679362,0.00378626,-0.005638603,-0.012323973
3/27/18 19:16,0.129140076,-0.397978735,-0.285107755,0.002873515,0.00236689,-0.00674817,-0.014746278
3/27/18 19:18,0.129079021,-0.298830413,-0.787077592,0.00229654,0.000903109,-0.010275395,-0.015743609
3/27/18 19:19,0.121403694,-0.247829438,-0.992895937,0.001321106,0.000539672,-0.009489505,-0.015412684
3/27/18 19:22,0.085773178,-0.074545663,-1.26302272,0.000642949,-0.010688342,-0.012880744,-0.023404448
3/27/18 19:24,0.029782086,0.047667356,-1.433279726,-0.000780403,-0.008630393,-0.014755097,-0.021428435
3/27/18 19:28,-0.10916689,0.368646734,-1.478941263,-0.007361178,-0.011168418,-0.017280909,-0.022639654
3/27/18 19:32,-0.093839685,0.104455374,0.550530486,-0.000177749,-0.002216088,-0.004937872,-0.015252879
3/27/18 19:34,-0.089052823,-0.283616437,0.500338872,-0.00218481,-0.006178022,-0.004392023,-0.019452795
3/27/18 19:35,-0.094587663,-0.319945097,0.351495173,-0.003242579,-0.009938366,-0.004871961,-0.020292225
3/27/18 19:38,-0.057974985,-0.705046582,-0.190800715,-0.00183632,-0.006181529,-0.002492642,-0.01133373
3/27/18 19:41,-0.051403338,-0.808590515,-0.509589066,-0.001223389,0.000324002,0.001536218,-0.007563781
3/27/18 19:45,-0.13238641,-0.518951087,-1.181640277,0.002452371,0.005117262,0.004669157,-0.008755845
3/27/18 19:47,-0.107517483,-0.356190248,-1.359737596,0.003141467,0.00345483,0.00425582,-0.008696655
3/27/18 19:48,-0.098936156,-0.256358316,-1.444275582,0.006488484,0.003711832,0.004036547,-0.00848761
3/27/18 19:49,-0.088895631,-0.127347943,-1.526313332,0.00299428,0.001407535,0.001642385,-0.009457678
3/27/18 19:50,-0.095436163,0.000414765,-1.567643193,0.002658371,0.000726026,0.002965536,-0.008941287
3/27/18 19:51,-0.084824381,0.129783329,-1.559040291,0.000714808,0.001211823,0.003545896,-0.008281724
3/27/18 19:52,-0.070215368,0.24375753,-1.502048451,0.000312381,-0.000692196,0.003862677,-0.00815005
3/27/18 19:57,-0.033321545,0.856878439,-0.309483824,-0.001004264,0.000798232,-0.001919463,-0.011607405
3/27/18 20:00,-0.03615376,1.136463517,1.00516507,0.001484259,0.002237886,-0.002070463,-0.017077355
3/27/18 20:02,-0.006299179,0.920602772,0.986495949,0.001804308,0.004558028,-0.00726773,-0.014691424
3/27/18 20:03,-0.025085121,0.462593516,-0.57651927,0.000999107,0.003337799,-0.008104711,-0.010839473
3/27/18 20:04,-0.035603732,0.558598838,-0.315898094,-0.000635172,0.001460294,-0.007847462,-0.01173229
3/27/18 20:18,0.091803188,-0.218910741,-0.218510692,-0.005751723,-0.006109569,-0.005841017,-0.0082468
3/27/18 20:23,-0.015293047,-1.596421373,2.53731864,-0.000359916,-0.004254171,-0.004186644,0.002357801
