,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 17:54:00,1,0.084466552,-0.383296113,-1.601549746,0.001448534,-0.001226386,-0.002032445,0.003586123
2018-02-08 17:55:00,1,0.058183973,-0.463602909,-1.512950026,0.001088294,-0.001097569,-0.001629473,0.00496225
2018-02-08 17:58:00,1,0.04501752,-0.840635248,-0.801114579,-0.001778959,-0.004911284,-0.00476946,0.003437677
2018-02-08 17:59:00,1,0.039963436,-0.994861907,-0.375914276,-0.002671051,-0.004271707,-0.004564721,0.002816139
2018-02-08 18:28:00,1,0.351309972,1.349773746,1.462983068,8.29465E-05,-0.002933849,-0.003145823,-0.011114955
2018-02-08 18:30:00,1,0.354305031,1.378311015,0.905712786,-0.001915916,-0.002978334,-0.001538235,-0.012070305
2018-02-08 18:33:00,1,0.3045935,1.073627177,-0.4896341,-0.003016545,-0.0043958,-0.001827744,-0.018593835
2018-02-08 18:34:00,1,0.299334595,0.939705362,-0.881127894,-0.002006823,-0.004081385,-0.001416726,-0.019196609
2018-02-08 18:35:00,1,0.284365475,0.827214871,-1.155811491,-0.001064458,-0.002504246,-3.07647E-06,-0.019563265
2018-02-08 18:36:00,1,0.243347853,0.694554473,-1.392783835,-0.001357195,-0.001929617,0.000301599,-0.021976826
2018-02-08 18:37:00,1,0.255267269,0.577763084,-1.529784346,-0.001792987,0.000345042,0.002593978,-0.022470872
2018-02-08 18:39:00,1,0.30203325,0.348105667,-1.708433509,-0.002078733,-0.000320279,0.001271877,-0.017658453
2018-02-08 18:40:00,1,0.289949535,0.232009553,-1.754997749,-0.001441322,0.001444401,0.001758412,-0.018835732
2018-02-08 18:41:00,1,0.284977121,0.129903522,-1.751576138,-0.0005732,0.0011464,0.003078639,-0.017800144
2018-02-08 18:43:00,1,0.188813104,-0.0002674,-1.649152827,0.001172452,0.002579395,0.003683969,-0.017735007
2018-02-08 18:50:00,1,0.295529861,-0.695379281,-0.556298766,-0.000381338,0.000313558,-0.006242992,-0.028501927
2018-02-08 18:52:00,1,0.216423694,-0.960792881,0.343628842,0.000910366,0.000387398,-0.006252737,-0.028316684
